Layer,Neuron,Dimension,Average Activation (Supported),Std Activation (Supported),Standard Error (Supported),Average Activation (Not Supported),Std Activation (Not Supported),Standard Error (Not Supported)
31,N/A,6890,-0.7007,0.274,0.004793925892418218,-0.6294,0.2866,0.00924103495333612
32,N/A,6890,-0.691,0.2893,0.005063103549479134,-0.612,0.3035,0.00978416222061056
33,N/A,6890,-0.68,0.2964,0.005187010724951619,-0.5947,0.3118,0.010051790149412458
34,N/A,6890,-0.7046,0.3042,0.005323735884093672,-0.611,0.3171,0.010224961162166629
35,N/A,6890,-0.759,0.3179,0.005563004912592264,-0.6597,0.3303,0.010650017284381407
36,N/A,6890,-0.7607,0.319,0.00558436821870821,-0.6543,0.332,0.010705117152075914
37,N/A,6890,-0.7334,0.345,0.006037270308366259,-0.609,0.3557,0.011468643890128388
38,N/A,6890,-0.689,0.354,0.0061953587736242564,-0.5576,0.3652,0.011775628867283507
39,N/A,6890,-0.714,0.365,0.006387628528667769,-0.5737,0.3772,0.012161327941145066
40,N/A,6890,-0.7656,0.3716,0.0065029903816938755,-0.632,0.3853,0.01242108446027632
41,N/A,6890,-0.7573,0.3843,0.006725168765299711,-0.6177,0.3953,0.012743812256772725
42,N/A,6890,-0.711,0.3909,0.006840530618325818,-0.5645,0.406,0.013090154282281065
43,N/A,6890,-0.7236,0.3972,0.006951619810128735,-0.576,0.4133,0.013326296572400385
44,N/A,6890,-0.731,0.419,0.007331886658992569,-0.5713,0.4365,0.01407408049111157
45,N/A,6890,-0.752,0.427,0.00747288447935781,-0.5938,0.4424,0.014262994323207028
46,N/A,6890,-0.7324,0.4426,0.007746334797641916,-0.5703,0.4614,0.014876964277517264
47,N/A,6890,-0.747,0.4473,0.00782751536088251,-0.5815,0.4688,0.015113106567636586
48,N/A,6890,-0.8184,0.4514,0.007900150601676724,-0.6587,0.475,0.015317763219073332
49,N/A,6890,-0.841,0.462,0.008083875034273857,-0.6787,0.4858,0.01566410524458167
50,N/A,6890,-0.856,0.467,0.00817360091996083,-0.6934,0.4905,0.01581366202832391
51,N/A,6890,-0.8716,0.478,0.008365870675004342,-0.707,0.503,0.016215103921526752
52,N/A,6890,-0.9204,0.4927,0.00862223034839569,-0.7534,0.52,0.016766102598471836
53,N/A,6890,-0.9746,0.5073,0.008878590021787038,-0.801,0.536,0.017285615636734347
54,N/A,6890,-0.987,0.511,0.008946952601358065,-0.8086,0.5425,0.017490272288171092
55,N/A,6890,-0.9907,0.511,0.008946952601358065,-0.8105,0.546,0.017600472023560108
56,N/A,6890,-0.981,0.5244,0.009177676307410279,-0.7944,0.561,0.018088499423140038
57,N/A,6890,-0.9927,0.534,0.009348582756337844,-0.7983,0.5723,0.018450584267989664
58,N/A,6890,-0.965,0.5444,0.009528034527711789,-0.768,0.5864,0.01890712602888702
59,N/A,6890,-0.9663,0.5547,0.009707486299085731,-0.7637,0.5938,0.019143268319006344
60,N/A,6890,-0.96,0.5605,0.009810030168442271,-0.7534,0.5996,0.0193321821511018
61,N/A,6890,-0.9883,0.5728,0.010023663229601729,-0.7803,0.612,0.019725752634634
62,N/A,6890,-1.016,0.576,0.010083480486726377,-0.8125,0.6147,0.01982020955068173
63,N/A,6890,-1.055,0.579,0.010134752421404646,-0.8564,0.6167,0.019883180828046885
64,N/A,6890,-1.028,0.587,0.010271477580546699,-0.8325,0.625,0.02015080875684878
65,N/A,6890,-1.072,0.5864,0.010262932258100321,-0.8794,0.6265,0.020198037214872646
66,N/A,6890,-1.094,0.593,0.010374021449903239,-0.8975,0.632,0.020371208227626815
67,N/A,6890,-1.175,0.6157,0.010775651604883018,-0.964,0.661,0.021315777388104102
68,N/A,6890,-1.207,0.627,0.010972194021149718,-0.993,0.676,0.021788061968342744
69,N/A,6890,-1.188,0.6343,0.011100373857845392,-0.968,0.682,0.02199271861977949
70,N/A,6890,-1.256,0.6357,0.011126009825184528,-1.035,0.6777,0.021851033245707897
71,N/A,6890,-1.352,0.658,0.01151909465771793,-1.115,0.6978,0.022496488838700708
72,N/A,6890,-1.298,0.659,0.011536185302610686,-1.068,0.7017,0.022622431393431015
73,N/A,6890,-1.285,0.66,0.011553275947503442,-1.066,0.703,0.02266965985145488
74,N/A,6890,-1.248,0.682,0.011937815457590465,-1.021,0.726,0.02340957236049542
75,N/A,6890,-1.165,0.709,0.012407808192141271,-0.933,0.755,0.02433839870163142
76,N/A,6890,-1.3545,0.766,0.01340761091836753,-1.099,0.8223,0.02651090777072918
77,N/A,6890,-1.446,0.7876,0.013783605106008174,-1.201,0.8394,0.027061906447674262
78,N/A,6890,-1.363,0.774,0.013544336077509583,-1.133,0.8223,0.02651090777072918
79,N/A,6890,-0.6367,0.7285,0.012749621089996402,-0.518,0.7314,0.02358274337324959
0,N/A,620,0.005096,0.001092,1.9110144924029562e-05,0.005272,0.001445,4.658275644931931e-05
1,N/A,620,0.00786,0.002129,3.7252265039680336e-05,0.00804,0.001953,6.297127736515244e-05
2,N/A,620,0.006092,0.002197,3.845395100870228e-05,0.006157,0.002028,6.536959749917681e-05
3,N/A,620,0.002808,0.003967,6.943074487682357e-05,0.002459,0.003504,0.00011296702785135258
4,N/A,620,0.00987,0.006145,0.0001075508942274642,0.008514,0.00556,0.00017932055155935988
5,N/A,620,0.04642,0.01067,0.00018679540785130033,0.04343,0.00991,0.00031953003631770714
6,N/A,620,0.0662,0.014,0.0002450104170172524,0.06186,0.01308,0.0004216123804838722
7,N/A,620,0.08936,0.0191,0.0003343357407145504,0.0837,0.01768,0.0005701852380172787
8,N/A,620,0.1191,0.02472,0.0004326069488479007,0.112,0.02359,0.0007605749594259819
9,N/A,620,0.14,0.0324,0.0005671957773783587,0.1298,0.0305,0.0009834342457260916
10,N/A,620,0.1488,0.04233,0.0007407726395704176,0.1348,0.04025,0.0012977986694474386
11,N/A,620,0.1532,0.0481,0.0008417142609682611,0.1368,0.04596,0.0014817928704987434
12,N/A,620,0.1786,0.05716,0.001000336808879158,0.1581,0.05484,0.0017681153972684209
13,N/A,620,0.1964,0.07263,0.0012711167138987698,0.169,0.0701,0.0022610624278925047
14,N/A,620,0.2266,0.10095,0.0017667454157887104,0.1914,0.0971,0.003130853196498673
15,N/A,620,0.2489,0.1249,0.0021854662156612463,0.2035,0.11835,0.0038156658378447057
16,N/A,620,0.2484,0.133,0.002328600366638083,0.2,0.1276,0.004112811552911519
17,N/A,620,0.2507,0.1628,0.0028498650358671582,0.1913,0.157,0.005061316418224128
18,N/A,620,0.2778,0.183,0.0032023595867802625,0.2076,0.1748,0.005635929324181143
19,N/A,620,0.3381,0.2018,0.0035313545009658266,0.26,0.1924,0.0062026708204675155
20,N/A,620,0.329,0.2052,0.0035911717580904743,0.2522,0.1952,0.006293192031679922
21,N/A,620,0.4011,0.2167,0.0037919868355803642,0.3162,0.2078,0.006698569629718091
22,N/A,620,0.4326,0.2329,0.004076118806922442,0.3398,0.2236,0.007210211258309954
23,N/A,620,0.493,0.2556,0.0044734763006790326,0.3906,0.2437,0.007855666851302767
24,N/A,620,0.568,0.276,0.004828107182203731,0.4597,0.267,0.008611322179684596
25,N/A,620,0.548,0.2883,0.005046012904586377,0.4358,0.2783,0.008973407024534223
26,N/A,620,0.5664,0.291,0.005093012178041458,0.4507,0.28,0.00902850689222873
27,N/A,620,0.562,0.3108,0.005439097737119779,0.441,0.2983,0.009618862617527035
28,N/A,620,0.577,0.305,0.005336553867763239,0.4631,0.2954,0.009524405701479307
29,N/A,620,0.59,0.314,0.005494642333021237,0.4753,0.3044,0.009815647859293137
30,N/A,620,0.6206,0.323,0.005652730798279236,0.5015,0.3098,0.009988818872047306
31,N/A,620,0.62,0.3494,0.006114178210383663,0.511,0.3367,0.010854673935818153
32,N/A,620,0.605,0.3462,0.006058633614482205,0.4912,0.3335,0.01075234561009978
33,N/A,620,0.654,0.3738,0.006541444332702578,0.5293,0.3623,0.011681171951235778
34,N/A,620,0.5957,0.3823,0.006690987475514197,0.472,0.3708,0.01195667128970832
35,N/A,620,0.6016,0.4055,0.007096890291717166,0.4785,0.4004,0.012909111859856251
36,N/A,620,0.555,0.393,0.00687898456933452,0.4421,0.383,0.012350241773240523
37,N/A,620,0.505,0.4058,0.007101162952940355,0.39,0.39,0.012570641244018556
38,N/A,620,0.47,0.4092,0.007160980210065003,0.3538,0.3882,0.012515541376324048
39,N/A,620,0.43,0.4045,0.0070797996468244095,0.3152,0.3833,0.012358113182911166
40,N/A,620,0.521,0.4104,0.0071823435161809486,0.4077,0.3828,0.01234237036356988
41,N/A,620,0.4614,0.4282,0.007494247785473756,0.3533,0.4001,0.012901240450185607
42,N/A,620,0.5254,0.4316,0.007554065042598404,0.4277,0.4004,0.012909111859856251
43,N/A,620,0.521,0.4429,0.007750607458865104,0.4258,0.4119,0.013279068114376522
44,N/A,620,0.4636,0.4438,0.007767698103757862,0.3748,0.4128,0.013310553753059097
45,N/A,620,0.456,0.4565,0.007989876487363696,0.3647,0.428,0.013798581152639029
46,N/A,620,0.3767,0.463,0.008100965679166615,0.2864,0.4385,0.014137051768476723
47,N/A,620,0.3308,0.4683,0.008194964226076776,0.2478,0.445,0.014349579829584113
48,N/A,620,0.3135,0.4648,0.008135146968952128,0.2332,0.4417,0.014239380094195096
49,N/A,620,0.2471,0.477,0.008348780030111585,0.1638,0.4524,0.014585722119703434
50,N/A,620,0.2039,0.4824,0.008442778577021746,0.12335,0.463,0.014924192735541129
51,N/A,620,0.1594,0.4885,0.008549595107601475,0.079,0.4631,0.014932064145211773
52,N/A,620,0.11145,0.492,0.008609412364726123,0.02806,0.4666,0.015042263880600789
53,N/A,620,0.05774,0.5234,0.009160585662517522,-0.03525,0.5015,0.01616787546350289
54,N/A,620,0.04608,0.527,0.00922040291964217,-0.0423,0.505,0.016278075198891906
55,N/A,620,-0.02042,0.522,0.009134949695178387,-0.1146,0.4983,0.016065547137784516
56,N/A,620,-0.0716,0.532,0.009314401466552331,-0.1676,0.5093,0.016419760572963498
57,N/A,620,-0.11285,0.5356,0.00937421872367698,-0.2057,0.512,0.01651421748901123
58,N/A,620,-0.13,0.5405,0.009459671948140761,-0.219,0.5146,0.016592931585717667
59,N/A,620,-0.1523,0.5415,0.009476762593033518,-0.2467,0.5166,0.01665590286308282
60,N/A,620,-0.1592,0.54,0.009451126625694384,-0.2563,0.516,0.016640160043741532
61,N/A,620,-0.1829,0.54,0.009451126625694384,-0.2788,0.516,0.016640160043741532
62,N/A,620,-0.2112,0.5493,0.00961348775217557,-0.3054,0.522,0.01682907387583699
63,N/A,620,-0.2554,0.551,0.009639123719514706,-0.35,0.521,0.016797588237154413
64,N/A,620,-0.2318,0.548,0.009587851784836437,-0.324,0.52,0.016766102598471836
65,N/A,620,-0.265,0.55,0.00962203307462195,-0.3562,0.5205,0.016781845417813124
66,N/A,620,-0.2478,0.5537,0.009690395654192975,-0.3347,0.524,0.016892045153202143
67,N/A,620,-0.287,0.562,0.009835666135781407,-0.3938,0.5337,0.017206901540027904
68,N/A,620,-0.2793,0.5645,0.009878392748013299,-0.3909,0.5396,0.017395815372123362
69,N/A,620,-0.38,0.573,0.010032208552048108,-0.4976,0.5464,0.017616214842901396
70,N/A,620,-0.4275,0.5884,0.010297113547885834,-0.548,0.56,0.01805701378445746
71,N/A,620,-0.517,0.5938,0.010391112094795995,-0.6445,0.5645,0.018198699158529057
72,N/A,620,-0.5347,0.5967,0.010442384029474264,-0.664,0.5664,0.018261670435894207
73,N/A,620,-0.588,0.6147,0.010758560959990261,-0.7236,0.5786,0.01865524091942641
74,N/A,620,-0.752,0.633,0.011074737890506258,-0.8936,0.5933,0.019127525499665055
75,N/A,620,-0.859,0.6475,0.011331097563897606,-1.008,0.606,0.019536838802538543
76,N/A,620,-0.966,0.706,0.012356536257463,-1.12,0.656,0.021142606375349933
77,N/A,620,-1.064,0.7275,0.012732530445103645,-1.212,0.689,0.022213118090557524
78,N/A,620,-1.014,0.68,0.011903634167804952,-1.175,0.6475,0.020874978446548034
79,N/A,620,-0.8857,0.701,0.012271083032999218,-0.9766,0.652,0.021016663820619626
0,N/A,2567,-0.0124,0.003637,6.3655976192357e-05,-0.012245,0.00393,0.00012668049938692775
1,N/A,2567,-0.009636,0.004265,7.463805074258533e-05,-0.010185,0.004803,0.00015484538711470103
2,N/A,2567,-0.00833,0.005604,9.807092713851329e-05,-0.009186,0.00621,0.00020022898349700817
3,N/A,2567,-0.0006847,0.00812,0.00014206598567103899,-0.00248,0.00913,0.0002944399179925292
4,N/A,2567,-0.013084,0.00987,0.00017277573821271094,-0.01479,0.010826,0.0003490478225826223
5,N/A,2567,-0.01956,0.01148,0.00020094859815311436,-0.02112,0.012115,0.00039061870490571124
6,N/A,2567,-0.0204,0.01406,0.0002460785823230497,-0.02298,0.014725,0.0004747443957607196
7,N/A,2567,-0.022,0.01587,0.0002777229795072943,-0.02568,0.01662,0.000535747820708211
8,N/A,2567,-0.02544,0.02046,0.00035810241876854004,-0.0311,0.02148,0.0006926840510166768
9,N/A,2567,-0.03763,0.02603,0.0004555725029225423,-0.04532,0.02731,0.0008806139569033037
10,N/A,2567,-0.0562,0.0319,0.0005581163722790818,-0.0657,0.03354,0.0010813349035047272
11,N/A,2567,-0.0733,0.03632,0.0006355583569493849,-0.0854,0.03787,0.001221052425158659
12,N/A,2567,-0.0788,0.04202,0.0007354318130414312,-0.09283,0.04373,0.0014099662572541164
13,N/A,2567,-0.0698,0.0507,0.0008871112864646457,-0.09,0.0535,0.0017248226440798786
14,N/A,2567,-0.05508,0.0651,0.0011397323812857038,-0.0804,0.0698,0.0022512231658042
15,N/A,2567,-0.05106,0.0818,0.0014313415097683628,-0.08453,0.0858,0.002766800499231385
16,N/A,2567,-0.05078,0.0973,0.0017026554974408734,-0.0935,0.1014,0.003268602865734944
17,N/A,2567,-0.06058,0.11694,0.0020466047259075993,-0.1082,0.1213,0.003910122753892435
18,N/A,2567,-0.10767,0.1453,0.0025422334277975397,-0.1682,0.147,0.0047385886217277216
19,N/A,2567,-0.1638,0.1711,0.002995135517455589,-0.238,0.1677,0.005407658443732466
20,N/A,2567,-0.2544,0.192,0.0033604480520382607,-0.3364,0.1879,0.0060570497415606
21,N/A,2567,-0.3096,0.2046,0.0035804901050325013,-0.3914,0.2014,0.006493912978281346
22,N/A,2567,-0.3696,0.2189,0.0038304407865890665,-0.4585,0.2142,0.006907161985990159
23,N/A,2567,-0.401,0.2292,0.004012028888574605,-0.495,0.2223,0.007166918505121412
24,N/A,2567,-0.4639,0.2421,0.004236343602792035,-0.563,0.2377,0.007662817314371987
25,N/A,2567,-0.5103,0.2505,0.00438375041499206,-0.6113,0.2462,0.00793831665284453
26,N/A,2567,-0.557,0.2515,0.004400841059884817,-0.6626,0.2472,0.007969802291527106
27,N/A,2567,-0.5166,0.2505,0.00438375041499206,-0.631,0.2483,0.008005223635045005
28,N/A,2567,-0.4626,0.2546,0.004456385655786276,-0.5825,0.2546,0.008209880286481749
29,N/A,2567,-0.4746,0.2651,0.004640110088383409,-0.5996,0.264,0.008508993853966224
30,N/A,2567,-0.4678,0.2683,0.004695654684284868,-0.593,0.2666,0.008595579360343308
31,N/A,2567,-0.4937,0.285,0.00498619564746173,-0.635,0.2854,0.009201677904982901
32,N/A,2567,-0.4854,0.302,0.00528528193308497,-0.6196,0.2976,0.009595248388515103
33,N/A,2567,-0.4685,0.311,0.0054433703983429674,-0.6016,0.3086,0.009949461823694087
34,N/A,2567,-0.444,0.3325,0.005819364585983612,-0.587,0.327,0.01053981754899239
35,N/A,2567,-0.508,0.368,0.006438900463346038,-0.662,0.3618,0.01166542913189449
36,N/A,2567,-0.4773,0.359,0.00628081199808804,-0.615,0.3535,0.011397801203092592
37,N/A,2567,-0.4258,0.3823,0.006690987475514197,-0.565,0.3708,0.01195667128970832
38,N/A,2567,-0.4678,0.3892,0.006810621989763494,-0.607,0.3787,0.01220855639916893
39,N/A,2567,-0.4324,0.4023,0.007041345695815707,-0.5674,0.3926,0.01265722675039564
40,N/A,2567,-0.48,0.4136,0.007237888112082408,-0.6104,0.3984,0.012846140582491098
41,N/A,2567,-0.49,0.4268,0.007468611818134622,-0.619,0.4133,0.013326296572400385
42,N/A,2567,-0.518,0.4304,0.0075327017364824585,-0.645,0.4167,0.013436496307789403
43,N/A,2567,-0.5757,0.427,0.00747288447935781,-0.7056,0.4153,0.013389267849765537
44,N/A,2567,-0.519,0.4397,0.007695062862963646,-0.654,0.4263,0.013743481284944521
45,N/A,2567,-0.569,0.4558,0.007977058503694128,-0.7114,0.443,0.01428660855221896
46,N/A,2567,-0.637,0.4739,0.008293235434210126,-0.7866,0.4614,0.014876964277517264
47,N/A,2567,-0.658,0.4778,0.008361598013781153,-0.808,0.464,0.014963549783894348
48,N/A,2567,-0.6294,0.4863,0.008511141156592772,-0.7783,0.4731,0.015254791941708179
49,N/A,2567,-0.5845,0.4949,0.008660684299404392,-0.7334,0.4802,0.015483062822156857
50,N/A,2567,-0.567,0.5024,0.008793136797323256,-0.7207,0.4873,0.015711333702605534
51,N/A,2567,-0.5605,0.51,0.00892131663401893,-0.713,0.495,0.015963218812066145
52,N/A,2567,-0.556,0.5303,0.009280220176766819,-0.7188,0.5146,0.016592931585717667
53,N/A,2567,-0.58,0.5474,0.009579306462390058,-0.758,0.532,0.01715967308200404
